,PropertyStreetNbrNameText,PropertyCityName,State,PropertyZipCode,TotalAssessedAmt,Lat,Lng,Arlington Cemetery,Ballston MU,Clarendon,Court House,Crystal City,East Falls Church,Pentagon,Pentagon City,Ronald Reagan Washington National Airport,Rosslyn,Virginia Square GMU,MinDistance
2502,1503 N COLONIAL CT,ARLINGTON,VA,22209,1200900,38.8975523,-77.0746283,1.0884977143013068,2.2554751242440916,1.32266677917381,0.6895691137842593,3.0441138450871303,4.4728258460128245,2.0936251599621007,2.508141024311696,3.709192706658759,0.15046143918515467,1.8581262477786504,0.15046143918515467
2503,878 N LEBANON ST,ARLINGTON,VA,22205,659000,38.8745515,-77.1421573,4.304271238427181,1.7278678704718091,2.668696887101675,3.2971589911906416,5.001919126490977,1.0726508147142018,4.64392503791781,4.4846683548835,5.581595507893175,4.076839176850062,2.1549062795923057,1.0726508147142018
2504,3617 9th ST S,ARLINGTON,VA,22204,613500,38.8620592,-77.09540940000001,2.32910565085669,1.6243316563847459,1.7298331465521264,2.1151687677383584,2.3654203167191805,3.654773332710747,2.210269117161285,1.9003840668612835,2.923577683838065,2.7144063568029155,1.4985017239724596,1.4985017239724596
2505,3838 N TAZEWELL ST,ARLINGTON,VA,22207,1126900,38.922244899999995,-77.12683,4.300397751799031,2.902997766854598,2.963966922439659,3.095915052363482,6.036259332884869,2.9957678951613524,5.203872708424222,5.440452958207397,6.727053195481555,3.431433402356237,2.999262332867427,2.902997766854598
2506,1214 N ABINGDON ST,ARLINGTON,VA,22207,1038200,38.8859059,-77.1197746,3.0455854045898594,0.5228184920618395,1.322623872006366,1.916937188813541,4.155432412969469,1.9667164911785076,3.584836164865308,3.5767372033138605,4.808920678641259,2.679396584512869,0.8999064705706312,0.5228184920618395
2507,2147 N QUEBEC ST,ARLINGTON,VA,22207,954000,38.898373799999995,-77.1077724,2.5812788534474493,1.1511859008228271,1.030659832051748,1.3183007082356641,4.138328005921286,2.759810502154981,3.3696139162067507,3.539322602415027,4.826450281824048,1.9276415598557242,1.0995713406931802,1.030659832051748
2508,1011 N KENNESAW ST,ARLINGTON,VA,22205,763800,38.8806659,-77.1375733,4.0106354612730275,1.4064603437414396,2.320313483867728,2.932257221830575,4.88610450540951,1.0623813621946863,4.441388575018813,4.341002476310026,5.497708493773349,3.7007764154843668,1.837367969504589,1.0623813621946863
2509,855 N LARRIMORE ST,ARLINGTON,VA,22205,703600,38.8747531,-77.1364047,3.9967972584261653,1.4303727110694897,2.373138630161765,3.0046711405159874,4.705605741741251,1.3028837579621433,4.335764714555067,4.183121784617923,5.292551892172564,3.786563920135791,1.8540999394811255,1.3028837579621433
2510,6016 19th ST N,ARLINGTON,VA,22205,772800,38.88720479999999,-77.144719,4.38950133916813,1.8241535333355126,2.661606092603236,3.2322723042731916,5.406655003179363,0.6363433999992081,4.904725205161551,4.8473876438684815,6.033422596935882,3.9682295510968966,2.2363727886152565,0.6363433999992081
2511,202 N EDGEWOOD ST,ARLINGTON,VA,22201,901900,38.8768903,-77.09014909999998,1.5447719489335598,1.1995340192263528,0.7561752165746323,1.052088633092024,2.4670092066699194,3.6090161934990577,1.8846292261753386,1.8775032125184337,3.1382326627352457,1.6904665150643599,0.8273856621965706,0.7561752165746323
2512,4778 21st RD N,ARLINGTON,VA,22207,510100,38.8964211,-77.123932,3.3686630737554917,1.2026846491380296,1.6726480581964434,2.1269780741399105,4.728409970215725,1.9000131671139444,4.0573472869873575,4.135054452843894,5.401433982396794,2.793931123583139,1.4455078905158805,1.2026846491380296
2513,4895 OLD DOMINION DR,ARLINGTON,VA,22207,853600,38.90974620000001,-77.1359104,4.28087608049379,2.3261678726764194,2.6897169483895293,3.0183011679234726,5.796494669599483,2.0051898810747333,5.066638839409463,5.1987076177572344,6.477698611298043,3.551109333376124,2.5490586348461304,2.0051898810747333
2514,3302 22nd ST N,ARLINGTON,VA,22201,945400,38.8975539,-77.10044470000001,2.1961631041132437,1.2297576569304152,0.7751533039365345,0.9341881402975579,3.820025971790128,3.1196994063002994,3.016858125519505,3.223065632738841,4.510502787111498,1.531517939022381,1.0322730474308595,0.7751533039365345
2515,1528 N COLONIAL TER,ARLINGTON,VA,22209,1157800,38.8970011,-77.0747445,1.0609739087241554,2.232013093546655,1.296944966461206,0.662224834005619,3.011826152910296,4.45974094589404,2.063349635185789,2.4739607756556485,3.6781218503331643,0.14911177075026577,1.8322443688915218,0.14911177075026577
2516,4813 37th ST N,ARLINGTON,VA,22207,888300,38.9164761,-77.13813499999998,4.594427184334366,2.7822488290859324,3.073013977864876,3.341457950230033,6.18749832883064,2.355523902735847,5.424037401438682,5.58847298417849,6.873069714858277,3.8066340815204724,2.97919022810312,2.355523902735847
2517,4635 35th ST N,ARLINGTON,VA,22207,1338700,38.9140855,-77.1287641,4.074297114937331,2.406197076394441,2.5940657557747184,2.8270378620708785,5.704277425648216,2.4715107156563723,4.920244363865843,5.105297033583076,6.3924258924123345,3.2771497565381575,2.5520010380247813,2.406197076394441
2518,2037 S OAKLAND ST,ARLINGTON,VA,22204,342600,38.85022439999999,-77.0912282,2.811989354758253,2.4486391819239643,2.5565895313563574,2.87595793008527,2.171057570640057,4.265898102774058,2.378385024454449,1.8945662153589524,2.5709343704244043,3.384110163273742,2.346392035593984,1.8945662153589524
